0,1,2,3,4,5,6,7,8,9,10
instant coffee,soda,frozen meals,artif. sweetener,,,,,,,
specialty chocolate,rolls/buns,,,,,,,,,
rolls/buns,waffles,,,,,,,,,
tropical fruit,soda,,,,,,,,,
brown bread,white wine,,,,,,,,,
waffles,beverages,,,,,,,,,
frozen meals,dental care,,,,,,,,,
citrus fruit,beef,coffee,,,,,,,,
other vegetables,yogurt,whipped/sour cream,napkins,,,,,,,
tropical fruit,beverages,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
newspapers,soft cheese,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
white wine,misc. beverages,chewing gum,,,,,,,,
waffles,instant coffee,,,,,,,,,
canned beer,brown bread,herbs,pastry,,,,,,,
bottled water,baking powder,UHT-milk,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
hamburger meat,tropical fruit,soda,,,,,,,,
specialty cheese,butter,,,,,,,,,
chocolate,whole milk,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
soda,curd,,,,,,,,,
whole milk,whole milk,coffee,oil,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
coffee,yogurt,,,,,,,,,
frozen meals,whole milk,fruit/vegetable juice,butter,chocolate,bottled water,,,,,
hamburger meat,sliced cheese,,,,,,,,,
pastry,frozen fish,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
whole milk,butter,,,,,,,,,
yogurt,yogurt,,,,,,,,,
chicken,butter,rolls/buns,shopping bags,soda,,,,,,
bottled beer,whole milk,,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
root vegetables,frankfurter,other vegetables,mayonnaise,,,,,,,
other vegetables,semi-finished bread,,,,,,,,,
shopping bags,rolls/buns,,,,,,,,,
whipped/sour cream,shopping bags,,,,,,,,,
citrus fruit,chocolate,,,,,,,,,
other vegetables,grapes,,,,,,,,,
organic sausage,UHT-milk,,,,,,,,,
whipped/sour cream,flour,,,,,,,,,
fruit/vegetable juice,berries,,,,,,,,,
tropical fruit,napkins,frozen vegetables,pastry,,,,,,,
whole milk,dessert,,,,,,,,,
jam,house keeping products,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
sausage,frozen meals,,,,,,,,,
pastry,pip fruit,rolls/buns,yogurt,,,,,,,
yogurt,pip fruit,house keeping products,frozen vegetables,,,,,,,
specialty chocolate,white bread,,,,,,,,,
ice cream,dishes,,,,,,,,,
meat,other vegetables,,,,,,,,,
tropical fruit,zwieback,,,,,,,,,
citrus fruit,flower (seeds),,,,,,,,,
specialty bar,bottled water,dental care,,,,,,,,
rolls/buns,long life bakery product,,,,,,,,,
cream cheese,sausage,whole milk,pip fruit,,,,,,,
whole milk,yogurt,,,,,,,,,
whole milk,domestic eggs,canned vegetables,flower (seeds),,,,,,,
sausage,canned fish,,,,,,,,,
sausage,soda,candy,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
beef,yogurt,,,,,,,,,
pasta,flower (seeds),,,,,,,,,
cat food,semi-finished bread,,,,,,,,,
tropical fruit,snack products,,,,,,,,,
frankfurter,dishes,hygiene articles,,,,,,,,
hard cheese,soda,,,,,,,,,
napkins,whole milk,butter milk,,,,,,,,
whole milk,cream cheese,semi-finished bread,,,,,,,,
chicken,frankfurter,other vegetables,domestic eggs,,,,,,,
candy,rolls/buns,UHT-milk,,,,,,,,
cream cheese,fruit/vegetable juice,,,,,,,,,
beef,pork,,,,,,,,,
domestic eggs,sausage,bottled water,curd,frozen meals,hygiene articles,chocolate,rolls/buns,,,
rolls/buns,soda,,,,,,,,,
liver loaf,white bread,herbs,pastry,,,,,,,
whole milk,waffles,,,,,,,,,
bottled beer,grapes,other vegetables,bottled water,,,,,,,
other vegetables,bottled water,whipped/sour cream,,,,,,,,
soda,domestic eggs,,,,,,,,,
chicken,yogurt,,,,,,,,,
root vegetables,salty snack,whipped/sour cream,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
brown bread,yogurt,,,,,,,,,
frozen dessert,specialty chocolate,,,,,,,,,
pastry,other vegetables,,,,,,,,,
bottled water,pork,salty snack,,,,,,,,
soft cheese,yogurt,pastry,instant coffee,,,,,,,
pork,margarine,,,,,,,,,
whole milk,margarine,soda,softener,,,,,,,
pip fruit,tropical fruit,,,,,,,,,
beef,newspapers,bottled beer,,,,,,,,
rum,onions,,,,,,,,,
whole milk,whole milk,semi-finished bread,brandy,,,,,,,
canned beer,white bread,,,,,,,,,
cream cheese,dessert,,,,,,,,,
frozen meals,pasta,curd,,,,,,,,
UHT-milk,whole milk,newspapers,domestic eggs,,,,,,,
fish,newspapers,,,,,,,,,
pastry,pickled vegetables,,,,,,,,,
sausage,bottled beer,,,,,,,,,
sauces,frozen meals,,,,,,,,,
whole milk,white bread,,,,,,,,,
rolls/buns,rum,,,,,,,,,
other vegetables,tropical fruit,,,,,,,,,
sparkling wine,canned beer,,,,,,,,,
soda,curd,,,,,,,,,
root vegetables,fruit/vegetable juice,bottled water,soda,,,,,,,
brandy,domestic eggs,,,,,,,,,
long life bakery product,curd,pot plants,soda,,,,,,,
spread cheese,other vegetables,,,,,,,,,
yogurt,berries,butter,pastry,,,,,,,
pip fruit,soda,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
beef,pastry,curd,,,,,,,,
rolls/buns,margarine,,,,,,,,,
other vegetables,salty snack,soda,,,,,,,,
shopping bags,coffee,,,,,,,,,
whole milk,cream cheese,,,,,,,,,
whole milk,seasonal products,,,,,,,,,
curd,chicken,,,,,,,,,
hamburger meat,pastry,brown bread,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
misc. beverages,rice,soda,,,,,,,,
dishes,frozen fish,,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
hamburger meat,spices,chocolate,,,,,,,,
butter milk,specialty fat,,,,,,,,,
pastry,sugar,,,,,,,,,
pork,bottled water,pastry,,,,,,,,
hygiene articles,root vegetables,soda,pastry,,,,,,,
tropical fruit,butter milk,shopping bags,,,,,,,,
other vegetables,soda,,,,,,,,,
beef,ice cream,rolls/buns,pip fruit,whole milk,fruit/vegetable juice,UHT-milk,,,,
pip fruit,dessert,,,,,,,,,
chicken,root vegetables,whole milk,rolls/buns,,,,,,,
tropical fruit,frozen meals,yogurt,other vegetables,,,,,,,
ham,curd,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
canned beer,whipped/sour cream,misc. beverages,,,,,,,,
whole milk,pip fruit,detergent,,,,,,,,
sausage,other vegetables,margarine,curd,pastry,newspapers,,,,,
white wine,processed cheese,,,,,,,,,
coffee,berries,,,,,,,,,
pork,meat,rolls/buns,onions,frozen vegetables,root vegetables,beverages,,,,
domestic eggs,napkins,,,,,,,,,
coffee,white wine,,,,,,,,,
root vegetables,root vegetables,processed cheese,frozen fish,,,,,,,
beef,processed cheese,other vegetables,spices,,,,,,,
pip fruit,brown bread,oil,,,,,,,,
white wine,dishes,,,,,,,,,
soda,zwieback,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
salty snack,shopping bags,,,,,,,,,
whole milk,whole milk,,,,,,,,,
frankfurter,pip fruit,brown bread,,,,,,,,
frankfurter,whole milk,,,,,,,,,
yogurt,tidbits,,,,,,,,,
other vegetables,cereals,,,,,,,,,
ham,root vegetables,margarine,whipped/sour cream,,,,,,,
sausage,soda,,,,,,,,,
citrus fruit,frankfurter,tropical fruit,napkins,,,,,,,
pastry,bottled water,,,,,,,,,
specialty chocolate,soda,curd,female sanitary products,,,,,,,
rolls/buns,tidbits,margarine,,,,,,,,
sausage,pastry,fruit/vegetable juice,dessert,,,,,,,
curd,beef,napkins,,,,,,,,
other vegetables,frankfurter,napkins,pastry,,,,,,,
citrus fruit,frozen vegetables,margarine,,,,,,,,
citrus fruit,candy,,,,,,,,,
finished products,newspapers,whipped/sour cream,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
fruit/vegetable juice,herbs,,,,,,,,,
whole milk,turkey,pork,dog food,rolls/buns,soda,bottled water,bottled water,,,
soda,shopping bags,coffee,,,,,,,,
beverages,root vegetables,frozen meals,,,,,,,,
frankfurter,canned beer,,,,,,,,,
onions,bottled beer,yogurt,rolls/buns,,,,,,,
tropical fruit,soda,,,,,,,,,
sausage,bottled beer,whole milk,frozen vegetables,,,,,,,
grapes,other vegetables,,,,,,,,,
frozen vegetables,other vegetables,napkins,,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
misc. beverages,sliced cheese,domestic eggs,,,,,,,,
napkins,frozen vegetables,,,,,,,,,
beef,herbs,,,,,,,,,
frankfurter,salt,,,,,,,,,
chocolate,whipped/sour cream,bottled beer,,,,,,,,
pip fruit,hard cheese,candy,,,,,,,,
soda,other vegetables,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
curd,UHT-milk,shopping bags,,,,,,,,
salty snack,chocolate marshmallow,,,,,,,,,
newspapers,butter,,,,,,,,,
ham,brown bread,,,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
berries,whole milk,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
chicken,cat food,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
yogurt,curd,rolls/buns,whipped/sour cream,,,,,,,
skin care,frankfurter,root vegetables,fruit/vegetable juice,,,,,,,
yogurt,coffee,candy,candles,,,,,,,
canned beer,brandy,waffles,cat food,dishes,light bulbs,,,,,
berries,condensed milk,whipped/sour cream,,,,,,,,
whole milk,skin care,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
jam,brown bread,yogurt,,,,,,,,
beverages,canned vegetables,,,,,,,,,
soda,candles,,,,,,,,,
whole milk,rolls/buns,canned fish,,,,,,,,
yogurt,liqueur,,,,,,,,,
pork,whole milk,,,,,,,,,
yogurt,newspapers,,,,,,,,,
sausage,domestic eggs,sweet spreads,,,,,,,,
meat,whole milk,whole milk,yogurt,,,,,,,
beverages,soda,,,,,,,,,
sausage,brown bread,,,,,,,,,
ice cream,soda,,,,,,,,,
meat,pasta,baking powder,,,,,,,,
pork,pork,,,,,,,,,
root vegetables,specialty chocolate,,,,,,,,,
citrus fruit,soda,whipped/sour cream,,,,,,,,
tropical fruit,specialty cheese,,,,,,,,,
house keeping products,yogurt,,,,,,,,,
chicken,red/blush wine,,,,,,,,,
other vegetables,tidbits,dental care,,,,,,,,
sausage,frozen dessert,,,,,,,,,
frankfurter,fruit/vegetable juice,shopping bags,,,,,,,,
nuts/prunes,margarine,,,,,,,,,
margarine,processed cheese,,,,,,,,,
root vegetables,newspapers,,,,,,,,,
waffles,shopping bags,sparkling wine,,,,,,,,
bottled beer,tropical fruit,red/blush wine,baking powder,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
pip fruit,whole milk,brown bread,,,,,,,,
frozen meals,canned vegetables,other vegetables,turkey,,,,,,,
canned vegetables,napkins,,,,,,,,,
beverages,sugar,,,,,,,,,
chicken,whole milk,margarine,soda,,,,,,,
pork,cream cheese,yogurt,,,,,,,,
pork,other vegetables,,,,,,,,,
long life bakery product,chocolate,,,,,,,,,
domestic eggs,domestic eggs,,,,,,,,,
root vegetables,yogurt,,,,,,,,,
curd cheese,canned beer,,,,,,,,,
sausage,cream,,,,,,,,,
sauces,herbs,,,,,,,,,
root vegetables,frozen fish,,,,,,,,,
other vegetables,soda,soda,,,,,,,,
canned vegetables,popcorn,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
pork,tropical fruit,,,,,,,,,
processed cheese,rolls/buns,canned fish,,,,,,,,
other vegetables,condensed milk,other vegetables,bottled water,pastry,misc. beverages,,,,,
citrus fruit,coffee,,,,,,,,,
curd cheese,newspapers,UHT-milk,,,,,,,,
tropical fruit,pastry,,,,,,,,,
fruit/vegetable juice,sausage,sausage,domestic eggs,seasonal products,,,,,,
bottled beer,berries,,,,,,,,,
soft cheese,butter milk,shopping bags,,,,,,,,
chicken,yogurt,,,,,,,,,
beef,whole milk,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
frankfurter,canned beer,citrus fruit,frozen vegetables,chicken,oil,soda,,,,
other vegetables,whole milk,,,,,,,,,
bottled beer,soda,candy,,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
frozen meals,other vegetables,,,,,,,,,
newspapers,yogurt,,,,,,,,,
whole milk,margarine,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
yogurt,whole milk,waffles,,,,,,,,
frozen meals,sausage,flour,curd,whipped/sour cream,,,,,,
other vegetables,butter,whipped/sour cream,,,,,,,,
brown bread,pet care,,,,,,,,,
butter,whipped/sour cream,decalcifier,,,,,,,,
hamburger meat,tidbits,,,,,,,,,
specialty chocolate,pip fruit,,,,,,,,,
domestic eggs,whipped/sour cream,,,,,,,,,
sausage,misc. beverages,,,,,,,,,
butter,waffles,,,,,,,,,
pastry,curd,butter,curd,whipped/sour cream,,,,,,
UHT-milk,other vegetables,,,,,,,,,
canned beer,newspapers,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
napkins,dessert,,,,,,,,,
hamburger meat,tropical fruit,beverages,yogurt,soda,,,,,,
hamburger meat,coffee,,,,,,,,,
whole milk,bottled water,,,,,,,,,
canned fruit,whipped/sour cream,,,,,,,,,
frankfurter,chicken,meat,bottled beer,other vegetables,pastry,misc. beverages,root vegetables,salt,,
pork,tropical fruit,dessert,meat spreads,whole milk,,,,,,
rolls/buns,margarine,whole milk,liquor (appetizer),,,,,,,
pork,cake bar,,,,,,,,,
whole milk,beef,rolls/buns,mustard,,,,,,,
canned beer,berries,bottled water,,,,,,,,
soda,other vegetables,,,,,,,,,
UHT-milk,specialty cheese,,,,,,,,,
newspapers,canned beer,,,,,,,,,
onions,onions,,,,,,,,,
butter,margarine,,,,,,,,,
whole milk,herbs,,,,,,,,,
grapes,soda,,,,,,,,,
meat,tropical fruit,rolls/buns,,,,,,,,
yogurt,butter,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
other vegetables,white bread,,,,,,,,,
chicken,chewing gum,,,,,,,,,
yogurt,pip fruit,,,,,,,,,
frankfurter,beverages,,,,,,,,,
yogurt,soda,,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
pork,frankfurter,other vegetables,potato products,,,,,,,
rolls/buns,pip fruit,whole milk,yogurt,,,,,,,
canned fish,rolls/buns,chocolate,artif. sweetener,,,,,,,
sausage,whole milk,margarine,,,,,,,,
whipped/sour cream,dish cleaner,,,,,,,,,
bottled water,shopping bags,,,,,,,,,
packaged fruit/vegetables,dog food,,,,,,,,,
whole milk,yogurt,,,,,,,,,
sausage,brown bread,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
citrus fruit,whole milk,frozen vegetables,,,,,,,,
canned beer,bottled beer,,,,,,,,,
other vegetables,curd,,,,,,,,,
beef,chocolate,pastry,,,,,,,,
frozen fish,whole milk,tropical fruit,butter,coffee,,,,,,
tropical fruit,other vegetables,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
beef,jam,flower (seeds),,,,,,,,
whole milk,shopping bags,newspapers,,,,,,,,
misc. beverages,dishes,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
pip fruit,frozen vegetables,whipped/sour cream,whipped/sour cream,,,,,,,
bottled water,flour,,,,,,,,,
ice cream,photo/film,flour,,,,,,,,
napkins,frozen vegetables,,,,,,,,,
onions,whole milk,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
curd,root vegetables,dish cleaner,,,,,,,,
rolls/buns,grapes,bottled beer,sausage,salty snack,Instant food products,domestic eggs,bottled water,,,
frankfurter,chocolate,pip fruit,margarine,butter,napkins,,,,,
other vegetables,yogurt,,,,,,,,,
female sanitary products,curd,,,,,,,,,
pip fruit,yogurt,,,,,,,,,
dessert,whipped/sour cream,,,,,,,,,
dental care,other vegetables,pet care,,,,,,,,
cream cheese,other vegetables,,,,,,,,,
salty snack,specialty bar,brown bread,instant coffee,,,,,,,
soda,whole milk,,,,,,,,,
processed cheese,root vegetables,,,,,,,,,
rolls/buns,sugar,,,,,,,,,
packaged fruit/vegetables,tea,,,,,,,,,
sausage,margarine,margarine,,,,,,,,
pork,salty snack,,,,,,,,,
soda,tropical fruit,,,,,,,,,
newspapers,rolls/buns,,,,,,,,,
UHT-milk,cream cheese,cream cheese,waffles,,,,,,,
chocolate,herbs,,,,,,,,,
napkins,white bread,,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
beverages,bottled water,,,,,,,,,
cream cheese,sugar,,,,,,,,,
yogurt,tropical fruit,specialty bar,,,,,,,,
liver loaf,pasta,grapes,other vegetables,,,,,,,
rolls/buns,margarine,soda,,,,,,,,
packaged fruit/vegetables,waffles,,,,,,,,,
soda,liver loaf,,,,,,,,,
pastry,domestic eggs,bottled water,,,,,,,,
onions,pip fruit,dog food,,,,,,,,
canned beer,canned beer,,,,,,,,,
soda,soda,,,,,,,,,
sausage,newspapers,,,,,,,,,
grapes,herbs,,,,,,,,,
brown bread,detergent,,,,,,,,,
bottled water,tropical fruit,whipped/sour cream,,,,,,,,
yogurt,specialty chocolate,specialty bar,,,,,,,,
rolls/buns,specialty chocolate,napkins,onions,rice,rolls/buns,butter milk,dental care,,,
pastry,red/blush wine,,,,,,,,,
long life bakery product,frozen vegetables,,,,,,,,,
pasta,whole milk,waffles,,,,,,,,
chewing gum,softener,,,,,,,,,
meat,ice cream,cleaner,,,,,,,,
whole milk,spread cheese,bottled water,onions,,,,,,,
frankfurter,specialty cheese,soft cheese,,,,,,,,
bottled water,rolls/buns,popcorn,,,,,,,,
sausage,yogurt,,,,,,,,,
herbs,white bread,,,,,,,,,
yogurt,butter,,,,,,,,,
semi-finished bread,other vegetables,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
root vegetables,soft cheese,,,,,,,,,
root vegetables,citrus fruit,,,,,,,,,
finished products,whole milk,,,,,,,,,
fruit/vegetable juice,domestic eggs,,,,,,,,,
domestic eggs,whole milk,artif. sweetener,,,,,,,,
root vegetables,white bread,sliced cheese,,,,,,,,
fruit/vegetable juice,whole milk,frozen vegetables,rolls/buns,,,,,,,
brown bread,domestic eggs,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
tropical fruit,UHT-milk,whole milk,,,,,,,,
whole milk,specialty chocolate,bottled beer,canned beer,rolls/buns,,,,,,
onions,other vegetables,,,,,,,,,
bottled water,coffee,,,,,,,,,
domestic eggs,brown bread,detergent,,,,,,,,
sausage,other vegetables,,,,,,,,,
citrus fruit,jam,,,,,,,,,
cream cheese,misc. beverages,,,,,,,,,
sausage,soda,bottled water,,,,,,,,
bottled water,oil,sausage,bottled beer,rolls/buns,bottled water,waffles,tropical fruit,frozen meals,,
other vegetables,newspapers,,,,,,,,,
sausage,whole milk,popcorn,fruit/vegetable juice,canned fruit,whole milk,soda,,,,
soda,oil,,,,,,,,,
hygiene articles,tea,,,,,,,,,
instant coffee,newspapers,,,,,,,,,
frankfurter,bottled water,soft cheese,,,,,,,,
berries,cream cheese,other vegetables,,,,,,,,
grapes,other vegetables,domestic eggs,,,,,,,,
sausage,sliced cheese,yogurt,pastry,hygiene articles,,,,,,
whole milk,coffee,,,,,,,,,
specialty chocolate,cat food,,,,,,,,,
yogurt,whipped/sour cream,long life bakery product,hard cheese,,,,,,,
canned beer,ice cream,,,,,,,,,
whole milk,baking powder,,,,,,,,,
other vegetables,other vegetables,soda,dish cleaner,,,,,,,
soda,other vegetables,,,,,,,,,
root vegetables,hard cheese,,,,,,,,,
whole milk,yogurt,,,,,,,,,
fruit/vegetable juice,hamburger meat,soft cheese,specialty chocolate,bottled water,,,,,,
whole milk,herbs,rolls/buns,cake bar,,,,,,,
beverages,whole milk,,,,,,,,,
tropical fruit,mustard,,,,,,,,,
frankfurter,processed cheese,,,,,,,,,
rolls/buns,cat food,beverages,,,,,,,,
meat,other vegetables,,,,,,,,,
cat food,newspapers,,,,,,,,,
soda,yogurt,,,,,,,,,
root vegetables,onions,,,,,,,,,
frankfurter,frozen meals,,,,,,,,,
beef,red/blush wine,,,,,,,,,
hygiene articles,rolls/buns,red/blush wine,,,,,,,,
curd,waffles,,,,,,,,,
canned beer,white bread,male cosmetics,chocolate,,,,,,,
pork,domestic eggs,,,,,,,,,
whole milk,whole milk,,,,,,,,,
